image,variant,operator,mse_to_gray,edge_path
landscape,gray,roberts,0.0,landscape/edges/gray/landscape_roberts.png
landscape,gray,prewitt,0.0,landscape/edges/gray/landscape_prewitt.png
landscape,gray,sobel,0.0,landscape/edges/gray/landscape_sobel.png
landscape,gray,frei-chen,0.0,landscape/edges/gray/landscape_frei-chen.png
landscape,original_color,roberts,0.0,landscape/edges/original_color/landscape_original_color_roberts.png
landscape,original_color,prewitt,0.0,landscape/edges/original_color/landscape_original_color_prewitt.png
landscape,original_color,sobel,0.0,landscape/edges/original_color/landscape_original_color_sobel.png
landscape,original_color,frei-chen,0.0,landscape/edges/original_color/landscape_original_color_frei-chen.png
landscape,saltpepper,roberts,1599.5458984375,landscape/edges/saltpepper/landscape_saltpepper_roberts.png
landscape,saltpepper,prewitt,987.501708984375,landscape/edges/saltpepper/landscape_saltpepper_prewitt.png
landscape,saltpepper,sobel,1025.7808837890625,landscape/edges/saltpepper/landscape_saltpepper_sobel.png
landscape,saltpepper,frei-chen,978.1273803710938,landscape/edges/saltpepper/landscape_saltpepper_frei-chen.png
landscape,gaussian,roberts,422.3182373046875,landscape/edges/gaussian/landscape_gaussian_roberts.png
landscape,gaussian,prewitt,213.1874237060547,landscape/edges/gaussian/landscape_gaussian_prewitt.png
landscape,gaussian,sobel,235.9188232421875,landscape/edges/gaussian/landscape_gaussian_sobel.png
landscape,gaussian,frei-chen,219.08599853515625,landscape/edges/gaussian/landscape_gaussian_frei-chen.png
potrait,gray,roberts,0.0,potrait/edges/gray/potrait_roberts.png
potrait,gray,prewitt,0.0,potrait/edges/gray/potrait_prewitt.png
potrait,gray,sobel,0.0,potrait/edges/gray/potrait_sobel.png
potrait,gray,frei-chen,0.0,potrait/edges/gray/potrait_frei-chen.png
potrait,original_color,roberts,0.0,potrait/edges/original_color/potrait_original_color_roberts.png
potrait,original_color,prewitt,0.0,potrait/edges/original_color/potrait_original_color_prewitt.png
potrait,original_color,sobel,0.0,potrait/edges/original_color/potrait_original_color_sobel.png
potrait,original_color,frei-chen,0.0,potrait/edges/original_color/potrait_original_color_frei-chen.png
potrait,saltpepper,roberts,1728.2379150390625,potrait/edges/saltpepper/potrait_saltpepper_roberts.png
potrait,saltpepper,prewitt,1049.3126220703125,potrait/edges/saltpepper/potrait_saltpepper_prewitt.png
potrait,saltpepper,sobel,1155.5867919921875,potrait/edges/saltpepper/potrait_saltpepper_sobel.png
potrait,saltpepper,frei-chen,1061.2674560546875,potrait/edges/saltpepper/potrait_saltpepper_frei-chen.png
potrait,gaussian,roberts,573.302734375,potrait/edges/gaussian/potrait_gaussian_roberts.png
potrait,gaussian,prewitt,247.24395751953125,potrait/edges/gaussian/potrait_gaussian_prewitt.png
potrait,gaussian,sobel,282.63726806640625,potrait/edges/gaussian/potrait_gaussian_sobel.png
potrait,gaussian,frei-chen,257.5512390136719,potrait/edges/gaussian/potrait_gaussian_frei-chen.png
